country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Uzbekistan,1992,UZB,21588150.0,119510827008.0,,,,,,,,,,-21.318,-4.14,707.832,15.281,,,-21.318,-4.14,707.837,15.281,,3.132,,50.911,10.434,-5.197,-26.745,22601.271,4.083,-5.532,-27.484,,,21740.945,469.347,,96.193,0.501,1.76,353.134,,,16357.786,1.705,6.449,17816.023,384.615,,72.376,,4.145,0.739,18.573,290.947,6.281,860.326,12.337,3.807,4.145,0.739,18.573,290.947,6.281,860.326,12.337,3.807,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.918,-25.104,100.932,,,4675.328,17.857,5.815,1777.781,38.379,,20.686,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2358.284,487.92,4.145,0.739,18.573,290.947,6.281,860.326,12.337,3.807,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1993,UZB,22085922.0,114918072320.0,,,,,,,,,,-18.654,-2.85,562.817,12.43,,,-18.654,-2.85,562.821,12.43,,2.369,,49.149,9.366,7.553,36.853,23760.521,4.566,7.174,33.669,,,22775.389,503.015,,95.854,9.0,31.78,384.915,,,17428.061,5.656,21.753,18399.391,406.367,,73.349,,17.147,3.185,21.758,333.153,7.358,985.131,14.971,4.146,17.147,3.185,21.758,333.153,7.358,985.131,14.971,4.146,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.695,4.739,105.67,,,4784.512,21.242,8.153,2106.846,46.532,,20.136,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2225.354,524.773,17.147,3.185,21.758,333.153,7.358,985.131,14.971,4.146,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1994,UZB,22564732.0,107242094592.0,,,,,,,,,,0.998,0.124,556.373,12.554,,,0.998,0.124,556.377,12.555,,2.438,,47.8,9.284,-1.888,-9.908,22817.238,4.801,-1.851,-9.311,,,21879.482,493.705,,95.89,1.606,6.18,391.095,,,17332.131,4.879,19.827,18887.66,426.195,,75.961,,-2.745,-0.597,21.16,317.132,7.156,937.756,14.971,4.11,-2.745,-0.597,21.16,317.132,7.156,937.756,14.971,4.11,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.777,-15.615,90.055,,,3990.978,37.891,17.631,2843.495,64.163,,17.491,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2118.35,514.865,-2.745,-0.597,21.16,317.132,7.156,937.756,14.971,4.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1995,UZB,23026212.0,104615657472.0,,,,,,,,,,-17.37,-2.181,450.518,10.374,,,-20.572,-2.583,433.062,9.972,,2.041,,47.453,9.334,-1.258,-6.476,22078.691,4.86,-0.732,-3.614,,,21284.039,490.091,,96.401,2.485,9.72,400.815,,,17406.881,1.694,7.219,18822.623,433.414,,78.84,,-13.527,-2.862,18.298,268.737,6.188,794.653,13.04,3.599,-13.527,-2.862,18.298,268.737,6.188,794.653,13.04,3.599,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.384,-11.153,78.903,,,3426.64,37.52,24.074,3832.016,88.237,,15.52,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2060.825,508.389,-13.527,-2.862,18.298,268.737,6.188,794.653,13.04,3.599,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1996,UZB,23465930.0,104748220416.0,,,,,,,,,,-6.575,-0.682,413.01,9.692,,,-7.105,-0.709,394.752,9.263,,1.848,,45.419,8.66,3.163,16.081,22350.256,5.007,3.078,15.084,,,21528.029,505.175,,96.321,4.123,16.525,417.34,,,17784.934,2.065,8.951,18851.373,442.365,,79.574,,5.446,0.997,19.294,278.063,6.525,822.228,14.366,3.679,5.446,0.997,19.294,278.063,6.525,822.228,14.366,3.679,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.962,-0.759,78.144,,,3330.086,0.475,0.419,3778.052,88.655,,14.9,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1935.53,524.47,5.446,0.997,19.294,278.063,6.525,822.228,14.366,3.679,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1997,UZB,23877290.0,108486836224.0,,,,,,,,,,-0.651,-0.063,403.253,9.629,,,3.842,0.356,402.857,9.619,,1.855,,46.054,8.874,-1.046,-5.484,21735.543,4.784,-0.648,-3.272,,,21020.113,501.903,,96.708,-1.914,-7.989,409.351,,,17143.959,2.546,11.261,18998.23,453.626,,78.875,,-11.464,-2.212,17.083,241.945,5.777,715.43,12.544,3.292,-11.464,-2.212,17.083,241.945,5.777,715.43,12.544,3.292,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.117,4.78,82.923,,,3472.902,3.516,3.117,3843.499,91.772,,15.978,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1928.778,518.986,-11.464,-2.212,17.083,241.945,5.777,715.43,12.544,3.292,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1998,UZB,24256774.0,111389409280.0,,,,,,,,,,0.276,0.027,398.038,9.655,,,0.204,0.02,397.362,9.639,,1.864,,45.9,8.861,-0.188,-0.976,21355.254,4.65,-0.183,-0.92,,,20653.334,500.983,,96.713,0.4,1.636,410.987,,,16943.205,9.06,41.099,20395.334,494.725,,79.34,,-0.329,-0.056,17.026,237.377,5.758,701.921,12.545,3.287,-0.329,-0.056,17.026,237.377,5.758,701.921,12.545,3.287,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.115,-2.583,80.341,,,3312.091,3.612,3.315,3920.013,95.087,,15.509,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1892.255,518.01,-0.329,-0.056,17.026,237.377,5.758,701.921,12.545,3.287,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,1999,UZB,24602712.0,114383437824.0,,,,,,,,,,-0.035,-0.003,392.306,9.652,,,0.136,0.013,392.306,9.652,,1.644,,45.372,7.727,13.357,69.189,23867.217,5.134,13.85,69.384,,,23183.098,570.367,,97.134,15.878,65.257,476.245,,,19357.418,1.44,7.122,20398.055,501.847,,81.105,,-1.146,-0.195,16.831,231.357,5.692,684.119,12.545,2.866,-1.146,-0.195,16.831,231.357,5.692,684.119,12.545,2.866,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,4.13,84.47,,,3433.374,-0.93,-0.884,3828.968,94.203,,14.385,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1844.187,587.198,-1.146,-0.195,16.831,231.357,5.692,684.119,12.545,2.866,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,2000,UZB,24925558.0,116875870208.0,,,,,0.0,0.0,0.0,,507.106,14.005,1.352,441.455,11.004,392.368,9.78,-15.392,-1.486,327.621,8.166,22.062,1.835,45.61,44.33,7.394,2.103,12.35,24053.547,5.13,2.068,11.797,1545.0,38.51,23356.105,582.164,86.871,97.1,2.203,10.491,486.736,1106.896,27.59,19527.598,1.477,7.411,20431.188,509.259,62.238,81.184,22.48,3.285,0.553,17.384,233.495,5.82,697.442,13.129,2.9,3.285,0.553,17.384,233.495,5.82,697.442,13.129,2.9,1.28,2.806,,,,0.0,0.0,,0.0,,-0.055,-0.046,84.424,45.736,1.14,3387.052,-6.963,-6.559,3516.217,87.644,2.572,14.081,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.496,599.548,3.285,0.553,17.384,233.495,5.82,697.442,13.129,2.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,2001,UZB,25248440.0,119890042880.0,,,,,0.0,0.0,0.0,,506.785,-16.176,-1.78,365.313,9.224,392.896,9.92,8.397,0.686,350.589,8.852,22.069,1.533,45.44,44.95,7.473,0.331,1.987,23824.65,5.017,0.291,1.695,1546.63,39.05,23124.543,583.859,86.874,97.061,0.791,3.85,490.586,1108.187,27.98,19430.359,1.058,5.39,20383.389,514.649,62.247,81.556,22.78,2.347,0.293,17.677,233.678,5.9,700.109,13.126,2.939,2.347,0.293,17.677,233.678,5.9,700.109,13.126,2.939,0.49,1.078,,,,0.0,0.0,,0.0,,-0.445,-0.375,84.049,45.547,1.15,3328.87,-4.293,-3.762,3322.24,83.881,2.558,13.972,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.308,601.535,2.347,0.293,17.677,233.678,5.9,700.109,13.126,2.939,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
